,location,location_id,direction,position,ons,offs,total,lifts,period
4962,SE Ladd & Palm,3310,N,NS,9,6,15,0,Fall2018
4953,SE Ladd & 16th,3311,E,NS,12,5,17,0,Fall2018
4954,SE Ladd & 16th,3312,W,NS,4,13,17,0,Fall2018
1464,N Lagoon & Anchor,3315,N,NS,20,61,81,1,Fall2018
1465,N Lagoon & Ballast,3316,N,OP,0,2,2,0,Fall2018
1466,N Lagoon & Commerce,3317,N,NS,0,1,1,0,Fall2018
1351,N Dolphin & Channel,3318,S,NS,1,8,9,0,Fall2018
548,5500 Block N Lagoon (at Gate 18),3319,N,OP,0,1,1,0,Fall2018
4970,SE Lake & 33rd Pl,3321,W,OP,2,3,5,0,Fall2018
597,6300 Block SE Lake,3322,S,AT,1,0,1,0,Fall2018
591,6200 Block SE Lake,3323,N,AT,1,1,2,0,Fall2018
598,6400 Block SE Lake,3324,S,AT,1,1,2,0,Fall2018
4982,SE Lake & Boss,3325,E,FS,0,0,0,0,Fall2018
4983,SE Lake & Boss,3326,W,OP,0,0,0,0,Fall2018
4985,SE Lake & Harmony,3328,E,NS,1,0,1,0,Fall2018
4986,SE Lake & Harmony,3329,N,NS,0,1,1,0,Fall2018
4989,SE Lake & Lena/51st,3332,W,NS,1,0,1,0,Fall2018
4990,SE Lake & Mintone,3334,W,FS,0,0,0,0,Fall2018
4991,SE Lake & Oatfield,3335,E,FS,1,0,1,0,Fall2018
4992,SE Lake & Oatfield,3336,E,NS,3,2,5,0,Fall2018
605,6600 Block SE Lake,3337,N,AT,1,1,2,2,Fall2018
600,6500 Block SE Lake,3338,S,AT,1,1,2,1,Fall2018
4993,SE Lake & Rusk,3339,E,NS,2,1,3,0,Fall2018
4994,SE Lake & Rusk,3340,W,OP,2,1,3,0,Fall2018
4996,SE Lake & Where Else Ln,3343,E,FS,0,2,2,0,Fall2018
4964,SE Lake & 23rd,3344,E,OP,7,0,7,0,Fall2018
4965,SE Lake & 23rd,3345,W,FS,3,4,7,1,Fall2018
4966,SE Lake & 28th,3347,W,OP,2,3,5,1,Fall2018
4967,SE Lake & 28th,3348,E,NS,3,1,4,0,Fall2018
4968,SE Lake & 31st Pl,3349,E,NS,2,2,4,7,Fall2018
4969,SE Lake & 31st Pl,3350,W,OP,3,2,5,0,Fall2018
4971,SE Lake & 34th,3352,W,NS,0,0,0,0,Fall2018
