location,location_id,direction,position,ons,offs,total,lifts,
W Arlington & Portland Ave,136,E,NS,6,4,10,1,
E Arlington & Portland Ave,137,W,NS,2,2,4,1,
E Arlington & 82nd Dr,140,E,NS,6,6,12,0,
82nd Dr & E Berkeley,141,S,FS,3,5,8,0,
SW Arthur & 1st,142,E,NS,31,53,84,30,
SW Arthur & 1st,143,W,NS,87,66,153,22,
19th & B St,146,E,FS,263,178,441,38,
B Ave & Second St,147,W,NS,17,28,45,1,
10100 Block SW Barbur,150,E,AT,15,18,33,2,
10700 Block SW Barbur,152,S,AT,2,4,6,0,
11100 Block SW Barbur,153,W,AT,0,0,0,0,
11100 Block SW Barbur,154,E,OP,2,1,3,0,
4900 Block SW Barbur,155,S,OP,58,68,126,4,
4900 Block SW Barbur,156,N,AT,71,54,125,2,
SW Barbur & 26th Ave,159,E,OP,42,6,48,4,
9500 Block SW Barbur,160,E,AT,11,5,16,0,
SW Barbur & Alice,162,E,FS,23,7,30,2,
SW Barbur & Alice,163,W,NS,6,21,27,0,
SW Barbur & Taylors Ferry,164,W,NS,5,16,21,1,
SW Barbur & Barbur Ct,165,W,OP,8,34,42,5,
SW Barbur & Capitol Hwy,168,E,NS,64,43,107,4,
SW Barbur & Capitol Hill,170,S,FS,40,135,175,18,
SW Barbur & Hamilton,172,N,FS,129,90,219,9,
SW Barbur & Hamilton,173,W,NS,86,151,237,7,
SW Barbur & Hooker,174,N,NS,28,19,47,1,
SW Barbur & Hooker,175,S,NS,27,33,60,2,
SW Barbur & Lane,176,S,NS,8,22,30,1,
SW Barbur & Lane,177,N,OP,28,15,43,0,
SW Barbur & Luradel,178,S,OP,17,53,70,3,
SW Barbur & Luradel,179,N,FS,49,21,70,2,
SW Barbur & Moss,180,N,NS,18,6,24,0,
SW Barbur & Parkhill Dr,181,S,FS,0,2,2,0,
SW Barbur & Parkhill,182,N,FS,3,1,4,0,
11200 Block SW Barbur,183,E,AT,15,5,20,1,
11200 Block SW Barbur,184,W,OP,4,12,16,0,
SW Barbur & Pennoyer,185,S,OP,5,7,12,0,
SW Barbur & Pennoyer,186,N,FS,11,6,17,0,
SW Barbur & Primrose,187,W,NS,18,64,82,13,
SW Barbur & Capitol Hwy,188,S,FS,2,9,11,0,
SW Barbur & Slavin/Capitol Hwy,189,N,OP,6,3,9,0,
SW Barbur & Terwilliger,191,W,FS,31,68,99,4,
SW Barbur & Terwilliger,193,E,FS,70,18,88,2,
8900 Block SW Barbur,194,W,AT,4,35,39,7,
SW Barbur & Whitaker,195,N,FS,18,23,41,0,
SW Barbur & Whitaker,196,S,OP,29,20,49,0,
