location,location_id,direction,position,ons,offs,total,lifts
SW Barnes & 88th,255,E,NS,23,5,28,0
E Baseline & Valley View,256,E,OP,9,1,10,1
SE Tualatin Valley Hwy & 44th,257,W,NS,34,27,61,86
700 Block Baseline,258,E,AT,10,6,16,0
SW Baseline & Adams,259,W,NS,75,12,87,10
E Main & NE Brookwood,260,W,FS,6,12,18,4
E Main & SE Brookwood,261,E,NS,14,5,19,6
Baseline St & S 26th,263,E,NS,43,14,57,0
SW Baseline St & 17th,264,W,OP,31,47,78,28
W Baseline Rd & SW Lisa,265,W,FS,4,1,5,0
2200 Block Baseline,267,E,AT,47,30,77,17
1000 Block SW Baseline St,268,W,AT,25,53,78,12
W Baseline Rd & SW Willow Creek Dr,269,E,NS,1,15,16,0
Baseline St & S 1st,270,E,FS,20,18,38,2
Baseline St & S 10th,271,E,NS,62,27,89,14
Baseline St & S 12th,272,E,FS,69,28,97,6
Baseline St & S 14th,273,E,NS,40,25,65,9
W Baseline Rd & SW 185th,275,W,FS,0,0,0,0
Baseline & S 20th,277,E,NS,43,35,78,6
W Baseline Rd & SW 194th,278,E,FS,1,2,3,0
W Baseline Rd & SW 195th,279,W,NS,1,0,1,0
 ,,,,,,,
TriMet Passenger Census - Fall 2019,5,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
SE Baseline St & 2nd,280,W,NS,112,156,268,54
Baseline St & N 26th,284,W,FS,9,35,44,1
Baseline St & N 29th/Hobbs,285,E,OP,10,5,15,0
Baseline St & N 29th/Hobbs,286,W,FS,7,14,21,0
Baseline St & N 31st,287,W,FS,5,6,11,1
E Main & NE 32nd,288,W,NS,2,7,9,2
SW Baseline & 331st,290,W,OP,1,2,3,0
SW Baseline & 331st,291,E,FS,3,1,4,1
SW Baseline & NW 334th,292,W,FS,2,9,11,0
SW Baseline & NW 334th,293,E,OP,7,2,9,0
Baseline & NW 338th,296,W,FS,1,5,6,0
Baseline & NW 338th,297,E,OP,4,3,7,0
Baseline St & Valley View,298,W,AT,2,14,16,1
SW Baseline & 345th,300,E,NS,10,6,16,1
E Main & NE 37th,301,W,NS,5,4,9,0
E Main & SE 37th,302,E,NS,4,5,9,1
Baseline St & S 4th,303,E,NS,99,34,133,55
SE Baseline St & 3rd,304,W,NS,68,123,191,12
E Main & NE 40th,305,W,NS,2,1,3,0
E Main & NE 40th,306,E,OP,4,4,8,0
SE Baseline St & 5th,307,W,NS,12,45,57,12
SE Baseline St & 7th,308,W,NS,38,75,113,24
SE Baseline St & 9th,310,W,NS,71,130,201,40
6200 Block N Basin,313,E,AT,3,0,3,0
6300 Block N Basin,314,N,AT,2,5,7,0
N Basin & Fathom,315,S,FS,5,0,5,0
6700 Block N Basin (Coast Guard),316,E,AT,6,4,10,0
N Basin & Emerson,317,S,OP,10,0,10,0
N Basin & Emerson,318,N,FS,0,10,10,0
N Basin & Ensign,319,S,NS,16,2,18,0
N Basin & Ensign,320,N,FS,17,49,66,0
N Basin & Fathom,321,N,NS,16,28,44,0
N Basin & Leverman,322,S,OP,3,0,3,0
N Basin & Pacific Pride,324,N,AT,0,6,6,0
2600 Block SW Beaverton-Hillsdale,325,E,AT,15,4,19,2
3600 Block SW Beaverton-Hillsdale,326,E,AT,7,3,10,0
3600 Block SW Beaverton-Hillsdale,327,W,OP,3,5,8,0
SW Beaverton-Hillsdale & 59th,328,E,OP,45,10,55,65
6100 Block SW Beaverton-Hillsdale,329,W,AT,23,43,66,17
7300 Block SW Beaverton-Hillsdale,331,E,OP,7,10,17,7
7400 Block SW Beaverton-Hillsdale,332,W,AT,9,18,27,2
7700 Block SW Beaverton-Hillsdale,333,E,AT,30,31,61,18
SW Beaverton-Hillsdale & Apple Way,335,E,NS,6,4,10,0
SW Beaverton-Hillsdale & Bertha,336,E,NS,14,3,17,1
SW Beaverton-Hillsdale & Dosch,340,W,NS,20,106,126,1
SW Beaverton-Hillsdale & Griffith,341,W,FS,19,48,67,23
SW Beaverton-Hillsdale & Griffith,342,E,NS,50,20,70,24
 ,,,,,,,
TriMet Passenger Census - Fall 2019,6,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
SW Beaverton-Hillsdale & Jamieson,343,W,OP,30,21,51,6
SW Beaverton-Hillsdale & Jamieson,344,E,FS,26,35,61,3
SW Beaverton-Hillsdale & White Pine Ln,345,E,FS,21,8,29,1
SW Beaverton-Hillsdale & Laurelwood,346,W,NS,14,24,38,3
SW Beaverton-Hillsdale & Laurelwood,347,E,NS,25,14,39,2
SW Beaverton-Hillsdale & Oleson,348,E,NS,140,45,185,18
SW Beaverton-Hillsdale & Poplar Ln,349,W,NS,3,3,6,0
SW Beaverton-Hillsdale & Oleson,350,W,NS,24,74,98,16
SW Beaverton-Hillsdale & Shattuck,351,E,NS,70,24,94,5
SW Beaverton-Hillsdale & Shattuck,352,W,FS,25,96,121,24
SW Beaverton-Hillsdale & Western,354,E,NS,21,36,57,18
SW Beaverton-Hillsdale & Western,355,W,OP,35,24,59,13
SW Beaverton-Hillsdale & White Pine Ln,356,W,NS,9,13,22,2
SW Beaverton-Hillsdale & 101st,357,E,FS,7,9,16,4
SW Beaverton-Hillsdale & 101st,358,W,NS,2,4,6,2
SW Beaverton- Hillsdale & 107th,359,W,NS,32,32,64,12
SW Beaverton-Hillsdale & 107th,360,E,NS,25,40,65,13
SW Beaverton-Hillsdale & 110th,361,W,NS,23,10,33,6
SW Beaverton-Hillsdale & 110th,362,E,OP,11,17,28,6
SW Beaverton-Hillsdale & 18th Dr,363,W,NS,59,66,125,21
SW Beaverton-Hillsdale & 25th,364,E,FS,18,5,23,0
SW Beaverton-Hillsdale & 25th,365,W,NS,10,36,46,0
2600 Block SW Beaverton-Hillsdale,366,W,FS,3,4,7,3
SW Beaverton-Hillsdale & 30th,367,E,NS,90,14,104,2
SW Beaverton-Hillsdale & 33rd,368,E,NS,33,8,41,5
SW Beaverton-Hillsdale & 35th,369,E,FS,30,10,40,0
SW Beaverton-Hillsdale & 35th,370,W,OP,17,30,47,2
SW Beaverton-Hillsdale & 39th Dr,371,E,OP,35,5,40,1
SW Beaverton-Hillsdale & 39th Dr,372,W,NS,6,38,44,1
SW Beaverton-Hillsdale & 42nd,373,E,FS,34,9,43,5
SW Beaverton-Hillsdale & 42nd,374,W,NS,8,36,44,6
SW Beaverton-Hillsdale & 45th,375,E,FS,58,24,82,3
SW Beaverton-Hillsdale & 45th,376,W,NS,24,67,91,1
SW Beaverton-Hillsdale & 50th,377,E,NS,13,3,16,0
SW Beaverton-Hillsdale & 50th,378,W,OP,2,12,14,0
SW Beaverton-Hillsdale & 56th,379,E,OP,31,14,45,2
SW Beaverton-Hillsdale & 56th,380,W,FS,11,33,44,3
SW Beaverton-Hillsdale & 59th,381,W,NS,14,35,49,74
SW Beaverton-Hillsdale & 62nd,382,E,FS,51,27,78,35
6500 Block SW Beaverton-Hillsdale,383,E,AT,26,16,42,5
SW Beaverton-Hillsdale & 65th,384,W,OP,23,41,64,6
SW Beaverton-Hillsdale & 78th,385,W,NS,40,30,70,10
SW Beaverton-Hillsdale & 78th,386,E,NS,20,24,44,1
SW Beaverton-Hillsdale & 91st,387,W,FS,26,23,49,31
SW Beaverton-Hillsdale & 91st,388,E,OP,23,16,39,21
SW Beaverton-Hillsdale & 99th,389,W,NS,9,9,18,1
SW Beaverton-Hillsdale & 99th,390,E,OP,6,6,12,1
 ,,,,,,,
TriMet Passenger Census - Fall 2019,7,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,,Weekday,,,,,
 ,,,,,,,
Stop Location ,Location ID,Direction,Position,Ons,Offs,Total,Lifts
SE Bell & Our Ct ,394,N,NS,8,15,23,40
SE Bell & Johnson Creek,395,N,NS,19,10,29,2
SE Bell & Johnson Creek,396,S,FS,10,20,30,1
SE Bell & Pierce ,397,N,NS,4,6,10,1
SE Bell & Jordan ,398,S,NS,5,5,10,0
SE Belmont & 11th,400,E,FS,133,155,288,66
SE Belmont & 14th,402,E,NS,46,86,132,30
SE Belmont & 17th,404,E,NS,16,65,81,8
SE Belmont & 20th,406,E,NS,32,112,144,2
SE Belmont & 23rd,408,E,NS,13,45,58,9
SE Belmont & 26th,410,W,NS,128,62,190,42
SE Belmont & 30th,417,W,FS,198,46,244,59
SE Belmont & 30th,418,E,FS,50,154,204,90
SE Belmont & 34th,422,E,FS,54,165,219,35
SE Belmont & 34th,423,W,FS,162,52,214,17
SE Belmont & 37th,425,E,FS,18,77,95,24
SE Belmont & 38th,426,W,FS,89,15,104,30
SE Belmont & Cesar Chavez Blvd,427,E,FS,103,170,273,57
SE Belmont & Cesar Chavez Blvd,428,W,NS,153,83,236,48
SE Belmont & 42nd,429,E,NS,17,77,94,5
