location,location_id,direction,position,ons,offs,total,lifts
N Basin & Fathom,315,S,FS,3,0,3,0
6700 Block N Basin (Coast Guard),316,E,AT,6,4,10,0
N Basin & Emerson,317,S,OP,16,0,16,0
N Basin & Emerson,318,N,FS,2,15,17,1
N Basin & Ensign,319,S,NS,11,2,13,0
N Basin & Ensign,320,N,FS,18,44,62,1
N Basin & Fathom,321,N,NS,14,23,37,0
N Basin & Leverman,322,S,OP,4,0,4,0
N Basin & Pacific Pride,324,N,AT,0,7,7,0
2600 Block SW Beaverton-Hillsdale,325,E,AT,14,5,19,3
3600 Block SW Beaverton-Hillsdale,326,E,AT,5,3,8,0
3600 Block SW Beaverton-Hillsdale,327,W,OP,2,5,7,0
SW Beaverton-Hillsdale & 59th,328,E,OP,51,12,63,53
6100 Block SW Beaverton-Hillsdale,329,W,AT,26,40,66,24
7300 Block SW Beaverton-Hillsdale,331,E,OP,7,12,19,7
7400 Block SW Beaverton-Hillsdale,332,W,AT,7,17,24,2
7700 Block SW Beaverton-Hillsdale,333,E,AT,28,33,61,20
SW Beaverton-Hillsdale & Apple Way,335,E,NS,5,6,11,0
SW Beaverton-Hillsdale & Bertha,336,E,NS,12,3,15,6
 ,,,,,,,
TriMet Passenger Census -Spring 2019,6,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
SW Beaverton-Hillsdale & Dosch,340,W,NS,20,100,120,3
SW Beaverton-Hillsdale & Griffith,341,W,FS,21,54,75,28
SW Beaverton-Hillsdale & Griffith,342,E,NS,52,21,73,28
SW Beaverton-Hillsdale & Jamieson,343,W,OP,34,28,62,5
SW Beaverton-Hillsdale & Jamieson,344,E,FS,30,36,66,5
SW Beaverton-Hillsdale & White Pine Ln,345,E,FS,19,8,27,0
SW Beaverton-Hillsdale & Laurelwood,346,W,NS,12,23,35,3
SW Beaverton-Hillsdale & Laurelwood,347,E,NS,24,12,36,2
SW Beaverton-Hillsdale & Oleson,348,E,NS,133,41,174,27
SW Beaverton-Hillsdale & Poplar Ln,349,W,NS,4,3,7,0
SW Beaverton-Hillsdale & Oleson,350,W,NS,24,69,93,14
SW Beaverton-Hillsdale & Shattuck,351,E,NS,73,24,97,11
SW Beaverton-Hillsdale & Shattuck,352,W,FS,26,95,121,28
SW Beaverton-Hillsdale & Western,354,E,NS,23,36,59,22
SW Beaverton-Hillsdale & Western,355,W,OP,41,35,76,23
SW Beaverton-Hillsdale & White Pine Ln,356,W,NS,8,12,20,0
SW Beaverton-Hillsdale & 101st,357,E,FS,5,8,13,3
SW Beaverton-Hillsdale & 101st,358,W,NS,3,4,7,1
SW Beaverton-Hillsdale & 107th,360,E,NS,23,42,65,20
SW Beaverton-Hillsdale & 110th,361,W,NS,40,27,67,14
SW Beaverton-Hillsdale & 110th,362,E,OP,11,19,30,5
SW Beaverton-Hillsdale & 18th Dr,363,W,NS,52,64,116,29
SW Beaverton-Hillsdale & 25th,364,E,FS,18,5,23,0
SW Beaverton-Hillsdale & 25th,365,W,NS,8,31,39,0
2600 Block SW Beaverton-Hillsdale,366,W,FS,4,7,11,3
SW Beaverton-Hillsdale & 30th,367,E,NS,80,17,97,2
SW Beaverton-Hillsdale & 33rd,368,E,NS,34,13,47,8
SW Beaverton-Hillsdale & 35th,369,E,FS,29,10,39,0
SW Beaverton-Hillsdale & 35th,370,W,OP,19,29,48,5
SW Beaverton-Hillsdale & 39th Dr,371,E,OP,32,5,37,7
SW Beaverton-Hillsdale & 39th Dr,372,W,NS,5,37,42,1
SW Beaverton-Hillsdale & 42nd,373,E,FS,33,9,42,4
SW Beaverton-Hillsdale & 42nd,374,W,NS,8,33,41,8
SW Beaverton-Hillsdale & 45th,375,E,FS,63,24,87,4
SW Beaverton-Hillsdale & 45th,376,W,NS,24,70,94,4
SW Beaverton-Hillsdale & 50th,377,E,NS,16,3,19,0
SW Beaverton-Hillsdale & 50th,378,W,OP,3,12,15,0
SW Beaverton-Hillsdale & 56th,379,E,OP,31,12,43,3
SW Beaverton-Hillsdale & 56th,380,W,FS,12,35,47,6
SW Beaverton-Hillsdale & 59th,381,W,NS,14,38,52,71
SW Beaverton-Hillsdale & 62nd,382,E,FS,46,25,71,40
6500 Block SW Beaverton-Hillsdale,383,E,AT,24,15,39,7
SW Beaverton-Hillsdale & 65th,384,W,OP,22,41,63,6
SW Beaverton-Hillsdale & 78th,385,W,NS,45,31,76,9
SW Beaverton-Hillsdale & 78th,386,E,NS,18,27,45,1
SW Beaverton-Hillsdale & 91st,387,W,FS,22,25,47,23
SW Beaverton-Hillsdale & 91st,388,E,OP,25,15,40,18
 ,,,,,,,
TriMet Passenger Census -Spring 2019,7,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,,Weekday,,,,,
 ,,,,,,,
Stop Location ,Location ID,Direction,Position,Ons,Offs,Total,Lifts
SW Beaverton-Hillsdale & 99th,389,W,NS,11,10,21,2
SW Beaverton-Hillsdale & 99th,390,E,OP,8,7,15,6
SE Bell & Our Ct ,394,N,NS,9,13,22,36
SE Bell & Johnson Creek,395,N,NS,17,13,30,2
SE Bell & Johnson Creek,396,S,FS,13,22,35,1
SE Bell & Pierce ,397,N,NS,5,6,11,1
SE Bell & Jordan ,398,S,NS,5,7,12,0
SE Belmont & 11th,400,E,FS,134,156,290,61
SE Belmont & 14th,402,E,NS,36,78,114,32
SE Belmont & 17th,404,E,NS,17,64,81,14
SE Belmont & 20th,406,E,NS,33,115,148,5
SE Belmont & 23rd,408,E,NS,15,45,60,4
SE Belmont & 26th,410,W,NS,127,63,190,36
SE Belmont & 30th,417,W,FS,185,45,230,21
SE Belmont & 30th,418,E,FS,52,156,208,28
SE Belmont & 34th,422,E,FS,62,199,261,41
SE Belmont & 34th,423,W,FS,198,58,256,52
SE Belmont & 37th,425,E,FS,14,67,81,20
SE Belmont & 38th,426,W,FS,74,16,90,26
SE Belmont & Cesar Chavez Blvd,427,E,FS,99,177,276,76
SE Belmont & Cesar Chavez Blvd,428,W,NS,155,77,232,54
SE Belmont & 42nd,429,E,NS,17,84,101,4
SE Belmont & 42nd,430,W,FS,114,25,139,16
SE Belmont & 46th,435,W,NS,102,32,134,43
SE Belmont & 46th,436,E,OP,38,106,144,53
SE Belmont & 49th,439,E,NS,14,32,46,13
SE Belmont & 49th,440,W,NS,48,13,61,12
SE Belmont & 50th,442,E,FS,6,21,27,1
SE Belmont & 53rd,443,E,FS,5,28,33,2
