location,location_id,direction,position,ons,offs,total,lifts
16200 Block SW Langer,12849,E,AT,22,6,28,7
16300 Block NE Airport Way,10724,W,AT,2,3,5,0
16400 Block NE Airport Way,10720,E,AT,2,4,6,0
16400 Block SE Hwy 224,2883,E,OP,0,0,0,0
16400 Block SE Hwy 224,2884,W,AT,0,0,0,0
16400 Block SW Langer,8306,N,OP,14,1,15,2
16400 Block SW Langer,9189,S,AT,2,15,17,3
16400 Block SW Pacific Hwy,4257,S,AT,2,5,7,0
16500 Block SE 82nd Dr,8430,N,OP,10,10,20,6
16500 Block SW 72nd,7865,N,OP,1,0,1,0
 ,,,,,,,
TriMet Passenger Census -Fall 2018,5,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
16500 Block SW 72nd,7866,S,AT,0,2,2,0
16700 Block SE 82nd Dr,8084,N,AT,10,6,16,0
16700 Block SE 82nd Dr,8085,S,OP,6,4,10,1
16800 Block SE Oatfield,4138,S,OP,0,0,0,0
16800 Block SE Oatfield,4139,N,AT,0,0,0,0
16800 Block SW 72nd,11944,N,AT,162,11,173,8
16900 Block SE Division,1310,W,AT,70,22,92,63
16th & Harrison,6835,W,NS,1,1,2,0
16th & Harrison,6836,E,NS,1,1,2,0
16th & Jackson,6837,W,NS,1,1,2,0
16th & Taylor,6840,E,NS,0,1,1,0
16th & Taylor,6841,W,NS,0,0,0,0
1700 Block Beavercreek Rd,9578,W,AT,7,1,8,2
1700 Block NW Naito Parkway,13098,N,AT,0,1,1,0
1700 Block SE Orient Dr,9644,N,AT,2,0,2,0
1700 Block South Shore,5285,W,AT,0,0,0,0
17000 Block SW 72nd,11945,S,AT,6,57,63,2
17000 Block SW Pacific Hwy,4259,N,AT,12,3,15,1
17100 Block SE Webster,8764,N,AT,1,3,4,0
17100 Block SE Webster,13149,S,AT,4,2,6,1
17300 Block SE Hwy 224,8736,W,OP,0,0,0,0
17300 Block SE River Rd,4824,S,AT,0,2,2,0
17400 Block SE Hwy 224,8737,E,AT,0,0,0,0
17500 Block Bryant,667,S,AT,0,0,0,0
17500 Block SE Hwy 224,13113,W,AT,0,0,0,0
17500 Block SW Farmington,1657,W,OP,68,68,136,43
17600 Block NE Sandy,9095,E,AT,13,24,37,0
17600 Block NE Sandy,10194,W,AT,20,8,28,0
17700 Block SE Hwy 224,8795,W,AT,0,0,0,0
17700 Block Webster,6197,N,AT,0,3,3,0
1800 Block NE Griffin Oaks,9950,E,AT,2,1,3,0
1800 Block NE Griffin Oaks,9966,W,OP,1,4,5,0
1800 Block South Shore (Park & Ride),5286,W,AT,0,1,1,0
1800 Block South Shore (Park & Ride),5287,E,OP,1,1,2,0
18000 Block NW Walker,9210,E,OP,1,0,1,0
18000 Block SW Lower Boones Ferry,537,E,AT,15,2,17,1
18000 Block SW Lower Boones Ferry,558,W,AT,3,16,19,2
18000 Block Webster,6196,N,AT,1,2,3,1
18100 Block SE River Rd,13215,S,AT,0,0,0,0
18200 Block SW Boones Ferry Rd,495,S,AT,2,21,23,1
18200 Block SW Farmington,1642,E,AT,1,0,1,0
18400 Block SW Boones Ferry Rd,496,N,AT,31,6,37,2
18600 Block NE Sandy,9715,E,FS,1,4,5,0
18600 Block NE Sandy,9726,W,NS,2,1,3,0
18882-19040 SW Tualatin Valley Hwy,5593,E,AT,9,12,21,0
18882-19040 SW Tualatin Valley Hwy,5594,W,OP,21,22,43,0
1900 Block SE 182nd,6924,N,AT,8,2,10,3
 ,,,,,,,
TriMet Passenger Census -Fall 2018,6,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
1900 Block SW Vermont,6017,E,AT,4,0,4,0
19000 Block NE Sandy,9811,E,AT,2,4,6,0
19000 Block NE Sandy,9853,W,OP,4,1,5,0
19000 Block NE Sandy (East Entrance),9716,E,NS,1,1,2,0
19000 Block NE Sandy (East Entrance),9725,W,OP,1,1,2,1
19000 Block SE Hwy 224,12936,N,AT,0,0,0,0
19200 Block SE Division,1326,W,AT,7,7,14,2
19300 Block McLoughlin,10421,N,AT,4,3,7,5
19300 Block McLoughlin,10422,S,AT,4,10,14,9
19300 Block SE Hwy 224,12937,S,AT,0,0,0,0
19400 Block SE Stark,13523,W,AT,16,12,28,17
19500 Block SW 65th,8944,S,AT,37,1,38,0
19800 Block NE Halsey,8825,W,OP,6,2,8,0
19th & B St,146,E,FS,273,188,461,101
19th & Birch,7038,E,NS,33,2,35,7
19th & Cedar,7041,E,NS,64,2,66,8
19th & Elm,7043,E,NS,70,3,73,39
19th & Hawthorne,7044,E,NS,53,3,56,7
19th & Main,7046,E,FS,88,1,89,16
19th Way & 19th Ave,7048,E,FS,133,34,167,40
2 Jefferson Parkway,3043,E,FS,5,0,5,0
200 Block Greenridge,2247,W,OP,0,8,8,0
200 Block Greenridge,2248,E,AT,8,1,9,0
200 Block NE Gertz Rd,13161,E,AT,5,21,26,0
200 Block SW Harrison,2566,E,AT,171,32,203,11
200 Block SW Harrison,2567,W,OP,31,303,334,20
200 Block Warner - Milne,6114,W,OP,6,2,8,2
2000 Block Beavercreek Rd,9582,E,AT,0,7,7,1
2000 Block SE162nd,13961,N,AT,4,0,4,0
20000 Block SE Hwy 224,8735,W,AT,0,0,0,0
20000 Block SE Hwy 224,8755,S,AT,0,0,0,0
20200 Block SE Hwy 224,13655,E,AT,0,0,0,0
20200 Block SW Pacific Hwy,8954,E,AT,2,0,2,0
20300 Block SE Hwy 224,13654,W,AT,0,0,0,0
20300 Block SW Pacific Hwy,9519,W,AT,0,5,5,2
20500 Block NW Evergreen Pkwy,8646,W,OP,6,3,9,0
20500 Block NW Evergreen Pkwy,8647,E,AT,3,4,7,0
20700 Block NE Halsey,10125,E,OP,4,14,18,1
2100 Block SW Halsey (Edgefield Manor),2339,E,AT,1,10,11,1
2100 Block SW Halsey (Edgefield Manor),2340,W,OP,7,2,9,1
